,Unnamed: 0,vote_date,resolution_title,vote_summary,vote_record,url_record
10,10,2022-04-01,Situation of human rights in the Syrian Arab Republic,"
    Yes: 23 | No: 7 | Abstentions: 16 | Non-Voting: 1 | Total voting membership: 47","
    Y ARGENTINA N ARMENIA Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL . CAMEROON N CHINA Y COTE D'IVOIRE N CUBA N ERITREA Y FINLAND Y FRANCE Y GABON A GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30056
11,11,2022-04-01,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,"
    Yes: 22 | No: 6 | Abstentions: 19 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30055
12,12,2022-04-01,Situation of human rights in the Islamic Republic of Iran,"
    Yes: 19 | No: 12 | Abstentions: 16 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA N ARMENIA A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA Y GERMANY Y HONDURAS N INDIA N INDONESIA Y JAPAN N KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS N PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES N UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30054
13,13,2022-04-01,"Promoting and protecting economic, social and cultural rights within the context of addressing inequalities in the recovery from the COVID-19 pandemic","
    Yes: 31 | No: 14 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL Y CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GERMANY N HONDURAS Y INDIA Y INDONESIA N JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA A MEXICO N MONTENEGRO Y NAMIBIA Y NEPAL N NETHERLANDS Y PAKISTAN Y PARAGUAY N POLAND Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN A UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30053
14,14,2022-04-01,"Recognizing the contribution of human rights defenders, including women human rights defenders, in conflict and post-conflict situations, to the enjoyment and realization of human rights","
    Yes: 39 | No: 0 | Abstentions: 8 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL Y CAMEROON A CHINA Y COTE D'IVOIRE Y CUBA A ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GERMANY Y HONDURAS Y INDIA Y INDONESIA Y JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA Y MARSHALL ISLANDS Y MAURITANIA Y MEXICO Y MONTENEGRO Y NAMIBIA Y NEPAL Y NETHERLANDS Y PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA A RUSSIAN FEDERATION Y SENEGAL Y SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN A VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30052
15,15,2022-03-31,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","
    Yes: 29 | No: 14 | Abstentions: 4 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) N BRAZIL Y CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GERMANY Y HONDURAS Y INDIA Y INDONESIA N JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA A MARSHALL ISLANDS Y MAURITANIA A MEXICO N MONTENEGRO Y NAMIBIA Y NEPAL N NETHERLANDS Y PAKISTAN A PARAGUAY N POLAND Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM A UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30051
16,16,2022-03-31,Commemoration of the thirty-fifth anniversary of the Declaration on the Right to Development,"
    Yes: 33 | No: 0 | Abstentions: 14 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL Y CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA A FINLAND A FRANCE Y GABON Y GAMBIA A GERMANY Y HONDURAS Y INDIA Y INDONESIA A JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC A LITHUANIA A LUXEMBOURG Y MALAWI Y MALAYSIA A MARSHALL ISLANDS Y MAURITANIA Y MEXICO A MONTENEGRO Y NAMIBIA Y NEPAL A NETHERLANDS Y PAKISTAN Y PARAGUAY A POLAND Y QATAR A REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN A UKRAINE Y UNITED ARAB EMIRATES A UNITED KINGDOM A UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30050
17,17,2022-03-31,The negative impact of unilateral coercive measures on the enjoyment of human rights,"
    Yes: 27 | No: 14 | Abstentions: 6 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA N FINLAND N FRANCE Y GABON A GAMBIA N GERMANY Y HONDURAS Y INDIA Y INDONESIA N JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA A MEXICO N MONTENEGRO Y NAMIBIA Y NEPAL N NETHERLANDS Y PAKISTAN A PARAGUAY N POLAND Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30049
18,18,2022-03-31,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem, and the obligation to ensure accountability and justice","
    Yes: 37 | No: 3 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) N BRAZIL A CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GERMANY A HONDURAS A INDIA Y INDONESIA Y JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG N MALAWI Y MALAYSIA A MARSHALL ISLANDS Y MAURITANIA Y MEXICO Y MONTENEGRO Y NAMIBIA A NEPAL Y NETHERLANDS Y PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN A UKRAINE Y UNITED ARAB EMIRATES A UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30048
19,19,2022-03-31,Promotion and protection of human rights in Nicaragua,"
    Yes: 20 | No: 7 | Abstentions: 20 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA A BENIN N BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GERMANY N HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SENEGAL A SOMALIA N SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30047
20,20,2022-03-31,Advancing human rights in South Sudan,"
    Yes: 19 | No: 11 | Abstentions: 17 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON N CHINA N COTE D'IVOIRE N CUBA N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA Y MARSHALL ISLANDS N MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS N PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SENEGAL N SOMALIA N SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30046
21,21,2022-03-04,Situation of human rights in Ukraine stemming from the Russian aggression,"
    Yes: 32 | No: 2 | Abstentions: 13 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA Y BENIN A BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL A CAMEROON A CHINA Y COTE D'IVOIRE A CUBA N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GERMANY Y HONDURAS A INDIA Y INDONESIA Y JAPAN A KAZAKHSTAN Y LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA Y MARSHALL ISLANDS Y MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA Y NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION Y SENEGAL Y SOMALIA A SUDAN Y UKRAINE Y UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN A VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30045
22,22,2022-10-07,Situation of human rights in Ethiopia,"
    Yes: 21 | No: 19 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA N BENIN N BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL N CAMEROON N CHINA N COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE N GABON N GAMBIA Y GERMANY Y HONDURAS N INDIA A INDONESIA Y JAPAN A KAZAKHSTAN N LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA Y MARSHALL ISLANDS N MAURITANIA Y MEXICO Y MONTENEGRO N NAMIBIA A NEPAL Y NETHERLANDS N PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA N SENEGAL N SOMALIA N SUDAN Y UKRAINE N UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30296
23,23,2022-10-07,Situation of human rights in the Syrian Arab Republic,"
    Yes: 25 | No: 6 | Abstentions: 16 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA N ARMENIA Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON N CHINA Y COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30295
24,24,2022-10-07,Situation of human rights in the Russian Federation,"
    Yes: 17 | No: 6 | Abstentions: 24 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA Y GERMANY A HONDURAS A INDIA A INDONESIA Y JAPAN N KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA A MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30294
