,Unnamed: 0,vote_date,resolution_title,vote_summary,vote_record,url_record
10,10,2023-04-03,"Mandate of Independent Expert on the effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","
    Yes: 32 | No: 5 | Abstentions: 10 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH A BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA A FINLAND N FRANCE Y GABON Y GAMBIA A GEORGIA A GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN A LITHUANIA A LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO A MONTENEGRO A MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR A ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30361
11,11,2023-04-03,The negative impact of unilateral coercive measures on the enjoyment of human rights,"
    Yes: 33 | No: 13 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30360
12,12,2023-04-03,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem, and the obligation to ensure accountability and justice","
    Yes: 38 | No: 2 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH Y BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA A CZECH REPUBLIC Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA A GEORGIA Y GERMANY Y HONDURAS A INDIA Y KAZAKHSTAN Y KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG N MALAWI Y MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO A NEPAL Y PAKISTAN Y PARAGUAY Y QATAR Y ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN A UKRAINE Y UNITED ARAB EMIRATES A UNITED KINGDOM N UNITED STATES Y UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/30359
13,13,2023-04-03,Promotion and protection of human rights in Nicaragua,"
    Yes: 21 | No: 5 | Abstentions: 21 | Non-Voting: 0 | Total voting membership: 47","
    N ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM A BENIN A BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GEORGIA Y GERMANY A HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA A MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO A NEPAL A PAKISTAN Y PARAGUAY A QATAR Y ROMANIA A SENEGAL A SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/30358
14,14,2023-04-03,Advancing human rights in South Sudan,"
    Yes: 19 | No: 9 | Abstentions: 19 | Non-Voting: 0 | Total voting membership: 47","
    N ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA N COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA Y GEORGIA Y GERMANY Y HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA A MALDIVES Y MEXICO Y MONTENEGRO A MOROCCO A NEPAL A PAKISTAN Y PARAGUAY A QATAR Y ROMANIA N SENEGAL N SOMALIA A SOUTH AFRICA N SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN A VIET NAM",https://searchlibrary.ohchr.org/record/30357
15,15,2023-07-12,Enhancement of international cooperation in the field of human rights,"
    Yes: 33 | No: 13 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30514
16,16,2023-10-13,Question of the death penalty,"
    Yes: 28 | No: 11 | Abstentions: 7 | Non-Voting: 1 | Total voting membership: 47","
    A ALGERIA Y ARGENTINA N BANGLADESH Y BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) N CAMEROON Y CHILE N CHINA Y COSTA RICA Y COTE D'IVOIRE  CUBA Y CZECH REPUBLIC A ERITREA Y FINLAND Y FRANCE Y GABON A GAMBIA Y GEORGIA Y GERMANY Y HONDURAS N INDIA Y KAZAKHSTAN Y KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG A MALAWI Y MALAYSIA N MALDIVES Y MEXICO Y MONTENEGRO A MOROCCO Y NEPAL N PAKISTAN Y PARAGUAY N QATAR Y ROMANIA A SENEGAL N SOMALIA Y SOUTH AFRICA N SUDAN Y UKRAINE N UNITED ARAB EMIRATES Y UNITED KINGDOM N UNITED STATES Y UZBEKISTAN A VIET NAM",https://searchlibrary.ohchr.org/record/31258
17,17,2023-10-12,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","
    Yes: 33 | No: 7 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH A BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA A FINLAND N FRANCE Y GABON Y GAMBIA A GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN A LITHUANIA A LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES Y MEXICO N MONTENEGRO Y MOROCCO A NEPAL Y PAKISTAN Y PARAGUAY Y QATAR A ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/31257
18,18,2023-10-12,Situation of human rights in the Russian Federation,"
    Yes: 18 | No: 7 | Abstentions: 22 | Non-Voting: 0 | Total voting membership: 47","
    A ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GEORGIA Y GERMANY A HONDURAS A INDIA N KAZAKHSTAN N KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA A MALDIVES A MEXICO Y MONTENEGRO A MOROCCO A NEPAL A PAKISTAN Y PARAGUAY A QATAR Y ROMANIA A SENEGAL A SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/31256
19,19,2023-10-12,Situation of human rights in Burundi,"
    Yes: 20 | No: 10 | Abstentions: 17 | Non-Voting: 0 | Total voting membership: 47","
    N ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM A BENIN N BOLIVIA (PLURINATIONAL STATE OF) N CAMEROON Y CHILE N CHINA Y COSTA RICA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE N GABON A GAMBIA Y GEORGIA Y GERMANY Y HONDURAS A INDIA Y KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA A MALDIVES Y MEXICO Y MONTENEGRO A MOROCCO A NEPAL N PAKISTAN Y PARAGUAY A QATAR Y ROMANIA A SENEGAL N SOMALIA A SOUTH AFRICA N SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN A VIET NAM",https://searchlibrary.ohchr.org/record/31255
20,20,2023-10-12,The right to development,"
    Yes: 29 | No: 13 | Abstentions: 5 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA A ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON A CHILE Y CHINA A COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN A PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/31254
21,21,2023-10-11,Human rights and unilateral coercive measures,"
    Yes: 32 | No: 13 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA A COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/31253
22,22,2023-10-11,Working Group on the rights of peasants and other people working in rural areas,"
    Yes: 38 | No: 2 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH Y BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA A CZECH REPUBLIC Y ERITREA A FINLAND A FRANCE Y GABON Y GAMBIA A GEORGIA Y GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN A LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES Y MEXICO A MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR A ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN Y UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/31252
23,23,2023-10-11,Mandate of Independent Expert on the promotion of a democratic and equitable international order,"
    Yes: 31 | No: 13 | Abstentions: 3 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON A CHILE Y CHINA A COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/31251
24,24,2023-10-11,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination resolution,"
    Yes: 32 | No: 13 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO A MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/31250
25,25,2023-10-11,Responding to the human rights and humanitarian crisis caused by the ongoing armed conflict in the Sudan,"
    Yes: 19 | No: 16 | Abstentions: 12 | Non-Voting: 0 | Total voting membership: 47","
    N ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA N COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA Y GEORGIA Y GERMANY Y HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG A MALAWI N MALAYSIA N MALDIVES Y MEXICO Y MONTENEGRO N MOROCCO A NEPAL N PAKISTAN Y PARAGUAY N QATAR Y ROMANIA N SENEGAL N SOMALIA A SOUTH AFRICA N SUDAN Y UKRAINE N UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/31249
